日期,时间,纬度,经度,地面速率,地面航向,GPS状态,使用卫星数量,海拔高度
17年05月10日,09时33分35秒,北纬40.47617度,东经111.4173度,0.100000节,338.000000度,单点定位,10,1062,
17年05月10日,09时33分36秒,北纬40.47618度,东经111.4173度,0.200000节,338.000000度,单点定位,10,1061,
17年05月10日,09时33分37秒,北纬40.47618度,东经111.4173度,0.300000节,338.000000度,单点定位,10,1060,
17年05月10日,09时33分38秒,北纬40.47619度,东经111.4173度,0.300000节,338.000000度,单点定位,10,1060,
17年05月10日,09时33分39秒,北纬40.47620度,东经111.4173度,0.100000节,338.000000度,单点定位,10,1059,
17年05月10日,09时33分40秒,北纬40.47620度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分41秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分42秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分43秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分44秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分45秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分46秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分47秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分48秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分49秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分50秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分51秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分52秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分53秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分54秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分55秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分56秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分57秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时33分58秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时33分59秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分00秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分01秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分02秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分03秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分04秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分05秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分06秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分07秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分08秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分09秒,北纬40.47622度,东经111.4173度,0.600000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分10秒,北纬40.47622度,东经111.4173度,0.800000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分11秒,北纬40.47623度,东经111.4173度,1.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分12秒,北纬40.47623度,东经111.4173度,1.300000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分13秒,北纬40.47623度,东经111.4173度,1.700000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分14秒,北纬40.47624度,东经111.4173度,2.300000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分15秒,北纬40.47624度,东经111.4173度,3.100000节,339.100000度,单点定位,10,1058,
17年05月10日,09时34分16秒,北纬40.47626度,东经111.4173度,1.500000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分17秒,北纬40.47626度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分18秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分19秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分20秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分21秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分22秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分23秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,08,1058,
17年05月10日,09时34分24秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分25秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分26秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分27秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分28秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分29秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分30秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分31秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分32秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分33秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分34秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分35秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分36秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分37秒,北纬40.47627度,东经111.4173度,0.400000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分38秒,北纬40.47627度,东经111.4173度,0.400000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分39秒,北纬40.47627度,东经111.4173度,0.400000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分40秒,北纬40.47627度,东经111.4173度,0.600000节,337.500000度,单点定位,10,1058,
17年05月10日,09时34分41秒,北纬40.47627度,东经111.4173度,0.600000节,349.700000度,单点定位,10,1057,
17年05月10日,09时34分42秒,北纬40.47627度,东经111.4173度,0.900000节,348.500000度,单点定位,10,1057,
17年05月10日,09时34分43秒,北纬40.47627度,东经111.4173度,0.900000节,347.200000度,单点定位,10,1057,
17年05月10日,09时34分44秒,北纬40.47628度,东经111.4173度,1.100000节,348.900000度,单点定位,10,1058,
17年05月10日,09时34分45秒,北纬40.47628度,东经111.4173度,1.500000节,340.000000度,单点定位,10,1057,
17年05月10日,09时34分46秒,北纬40.47628度,东经111.4173度,1.900000节,341.000000度,单点定位,10,1057,
17年05月10日,09时34分47秒,北纬40.47629度,东经111.4173度,2.500000节,341.400000度,单点定位,09,1057,
17年05月10日,09时34分48秒,北纬40.47630度,东经111.4173度,4.100000节,339.100000度,单点定位,09,1057,
17年05月10日,09时34分49秒,北纬40.47631度,东经111.4172度,5.100000节,337.800000度,单点定位,09,1057,
17年05月10日,09时34分50秒,北纬40.47633度,东经111.4172度,7.000000节,337.000000度,单点定位,09,1057,
17年05月10日,09时34分51秒,北纬40.47635度,东经111.4172度,7.400000节,336.400000度,单点定位,09,1058,
17年05月10日,09时34分52秒,北纬40.47637度,东经111.4172度,8.800000节,335.900000度,单点定位,09,1058,
17年05月10日,09时34分53秒,北纬40.47640度,东经111.4172度,9.700000节,335.100000度,单点定位,09,1058,
17年05月10日,09时34分54秒,北纬40.47642度,东经111.4172度,9.100000节,334.800000度,单点定位,09,1058,
17年05月10日,09时34分55秒,北纬40.47645度,东经111.4172度,8.400000节,335.700000度,单点定位,09,1058,
17年05月10日,09时34分56秒,北纬40.47647度,东经111.4172度,9.300000节,337.200000度,单点定位,09,1058,
17年05月10日,09时34分57秒,北纬40.47649度,东经111.4171度,8.800000节,338.400000度,单点定位,09,1058,
17年05月10日,09时34分58秒,北纬40.47651度,东经111.4171度,8.500000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分59秒,北纬40.47654度,东经111.4171度,10.000000节,343.200000度,单点定位,10,1058,
17年05月10日,09时35分00秒,北纬40.47657度,东经111.4171度,11.900000节,345.100000度,单点定位,10,1058,
17年05月10日,09时35分01秒,北纬40.47660度,东经111.4171度,12.300000节,345.600000度,单点定位,10,1057,
17年05月10日,09时35分02秒,北纬40.47664度,东经111.4171度,12.000000节,346.500000度,单点定位,10,1057,
17年05月10日,09时35分03秒,北纬40.47667度,东经111.4171度,12.900000节,345.500000度,单点定位,10,1057,
17年05月10日,09时35分04秒,北纬40.47670度,东经111.4171度,12.300000节,343.800000度,单点定位,09,1058,
17年05月10日,09时35分05秒,北纬40.47674度,东经111.4170度,12.400000节,342.700000度,单点定位,10,1057,
17年05月10日,09时35分06秒,北纬40.47677度,东经111.4170度,12.100000节,342.100000度,单点定位,09,1057,
17年05月10日,09时35分07秒,北纬40.47680度,东经111.4170度,11.800000节,341.100000度,单点定位,09,1057,
17年05月10日,09时35分08秒,北纬40.47683度,东经111.4170度,11.300000节,340.800000度,单点定位,09,1057,
17年05月10日,09时35分09秒,北纬40.47686度,东经111.4170度,9.500000节,341.000000度,单点定位,09,1057,
17年05月10日,09时35分10秒,北纬40.47688度,东经111.4170度,8.900000节,340.900000度,单点定位,09,1058,
17年05月10日,09时35分11秒,北纬40.47690度,东经111.4170度,9.000000节,341.500000度,单点定位,09,1058,
17年05月10日,09时35分12秒,北纬40.47693度,东经111.4170度,9.400000节,342.100000度,单点定位,09,1057,
17年05月10日,09时35分13秒,北纬40.47695度,东经111.4170度,8.300000节,343.100000度,单点定位,09,1057,
17年05月10日,09时35分14秒,北纬40.47697度,东经111.4170度,6.000000节,342.000000度,单点定位,09,1057,
17年05月10日,09时35分15秒,北纬40.47699度,东经111.4170度,5.300000节,341.700000度,单点定位,09,1057,
17年05月10日,09时35分16秒,北纬40.47700度,东经111.4170度,4.900000节,343.900000度,单点定位,09,1056,
17年05月10日,09时35分17秒,北纬40.47701度,东经111.4169度,2.400000节,343.900000度,单点定位,09,1056,
17年05月10日,09时35分18秒,北纬40.47702度,东经111.4170度,2.000000节,343.900000度,单点定位,09,1056,
17年05月10日,09时35分19秒,北纬40.47702度,东经111.4170度,2.300000节,343.900000度,单点定位,09,1057,
17年05月10日,09时35分20秒,北纬40.47703度,东经111.4170度,3.100000节,333.900000度,单点定位,09,1057,
17年05月10日,09时35分21秒,北纬40.47704度,东经111.4170度,5.700000节,334.500000度,单点定位,08,1057,
17年05月10日,09时35分22秒,北纬40.47706度,东经111.4170度,9.400000节,335.500000度,单点定位,08,1057,
17年05月10日,09时35分23秒,北纬40.47710度,东经111.4169度,13.100000节,336.100000度,单点定位,08,1057,
17年05月10日,09时35分24秒,北纬40.47713度,东经111.4169度,13.100000节,336.700000度,单点定位,08,1057,
17年05月10日,09时35分25秒,北纬40.47716度,东经111.4169度,9.200000节,339.700000度,单点定位,08,1057,
17年05月10日,09时35分26秒,北纬40.47718度,东经111.4169度,4.500000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分27秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分28秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分29秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分30秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分31秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分32秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分33秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分34秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分35秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分36秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分37秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分38秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分39秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分40秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分41秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分42秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分43秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分44秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分45秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分46秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分47秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分48秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分49秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分50秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分51秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分52秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分53秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分54秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分55秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分56秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分57秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分58秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分59秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分00秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分01秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分02秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分03秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分04秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分05秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分06秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分07秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分08秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分09秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分10秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分11秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分12秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分13秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分14秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分15秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分16秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分17秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分18秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分19秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分20秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分21秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分22秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分23秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分24秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分25秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分26秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分27秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分28秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
